"SubscriptionName","SubscriptionId","TenantId","State","SubscriptionPolicies","Tags"
"CCD Azure","5921cf4d-858b-46fc-bec7-5d96fbdb93a5","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"CCE Global POCs","171aa418-e802-4560-9b88-587c957d62e5","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CCE_Global_GAI","4e3f6333-fc3a-48c1-a5ec-5e48b2e331c3","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CCID GenAI Projects","a2dda039-f54d-4d32-a96d-feb5893182bb","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CCVG-DPD TCE Intel Dist of Python and Intel DAAL testing","28577bd0-a338-42f8-b3ce-6bf80ed1639d","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CDA - Central Data Store - PreProd","728b6fa5-fe66-4f94-8893-38d912ee3428","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CDA - Central Data Store - Prod","0f40ddfe-a54b-4154-9178-a6d3f6fe0790","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"cda-dev1","9b3b3db7-0990-4c70-9f93-6a15ed415a99","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"cda-m7","92816fe3-0abc-49a1-a9ee-cecc6f0294e2","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"cdm-dev1-discrete","9609c34f-0add-4cda-a739-ea50678fe584","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CESGSW benchmarking","da8f657d-e024-45b0-91ee-97fc91808e40","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"CEXcode_server_patch_coordinator","1ed2a8c4-05d6-4932-8297-7c4075cb39ea","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CGAI AI","b5e56b70-cd9c-4494-8df9-f6d0d7259115","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"chai-discrete","fe189aa1-6c94-4c51-b3e9-720bbaca6675","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Charles Chu AI Product","07946577-f028-49e8-968c-3964485b79ab","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Charles_Chu AI POC","c95c3228-d25a-4927-a35e-ffad049f52a2","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Charles_Chu AI Product","aaec4ef7-1702-4287-a8f5-b7e523a1cb8e","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"China Data Lake Dev","81c05ae2-b297-40e0-9b8d-8abc92d37c8a","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","MSDNDevTest_2014-09-01","None"
"CIDaaS","2257e238-03ac-4ba6-aefc-f38cc02c85af","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"CIDaaS-PR","13b3f7d9-3f65-4e17-b070-b74489862520","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"CIMS Azure Dev Playground Discrete External","29099a6d-b178-4d58-a267-c09d8fffb3e9","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
