"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
,"corp-sc-dev","3e5da20c-aa74-4cd5-8170-4fae4ff719ad",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-sc-dev","3e5da20c-aa74-4cd5-8170-4fae4ff719ad",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-sc-dev","3e5da20c-aa74-4cd5-8170-4fae4ff719ad",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-sc-dev","3e5da20c-aa74-4cd5-8170-4fae4ff719ad",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-sc-dev","3e5da20c-aa74-4cd5-8170-4fae4ff719ad",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-sc-dev","3e5da20c-aa74-4cd5-8170-4fae4ff719ad",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-dev1","de8f9107-fb7c-4a84-834a-bc88e4349ce7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-dev1","de8f9107-fb7c-4a84-834a-bc88e4349ce7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-dev1","de8f9107-fb7c-4a84-834a-bc88e4349ce7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-dev1","de8f9107-fb7c-4a84-834a-bc88e4349ce7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-dev1","de8f9107-fb7c-4a84-834a-bc88e4349ce7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-dev1","de8f9107-fb7c-4a84-834a-bc88e4349ce7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-dev1","de8f9107-fb7c-4a84-834a-bc88e4349ce7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
